stop_id,parent_station
2526171,252610
2526172,252610
2560691,256020
2560692,256020
2560693,256020
2560694,256020
2560711,256030
2560712,256030
2560713,256030
257861,257810
257862,257810
2750491,275020
2750492,275020
2750502,275030
2750511,275010
2750512,275010
2750513,275010
277371,277310
277372,277310
277381,275030
2774111,277410
2774112,277410
2774121,277420
2774122,277420
277661,277610
277662,277610
2777191,277720
2777192,277720
2777201,277710
2777202,277710
277871,277820
277872,277820
277881,277810
277882,277810
278331,278310
278332,278310
278561,278510
278562,278510
27874,27871
2790141,279010
2790142,279010
2790154,2790128
2113341,211340
2113342,211340
2113351,211310
2113352,211310
2122231,212210
2122232,212210
2122233,212210
2122234,212210
2147421,214710
2147422,214710
2147423,214710
2147424,214710
2150411,215020
2150412,215020
2150413,215020
2150414,215020
2153402,2153478
2153403,2153478
2153404,2153477
2153405,2153477
2154262,2154391
2154263,2154391
2154264,2154392
2154265,2154392
2155265,2155382
2155266,2155382
2155267,2155383
2155268,2155383
2155269,2155384
2155270,2155384
2747361,274720
2747362,274720
2747371,274710
2747372,274710
2756451,275620
2760301,276010
2760302,276010
2760303,276010
2760304,276010
2762121,276220
2762122,276220
2763171,276310
2763172,276310
2765291,276510
2765292,276510
2766141,276610
2766142,276610
2766143,276610
2766144,276610
2767121,276710
2767122,276710
2767123,276710
2767124,276710
2770591,277010
2770592,277010
2770593,277010
2770594,277010
216761,216710
216762,216710
216763,216710
216765,216710
2170821,217020
2170822,217020
2170823,217020
2170824,217020
217427,217426
217428,217426
217934,217933
217935,217933
217936,217933
217937,217933
2560701,256010
2560702,256010
2564141,256410
2564142,256410
2565651,256510
2565652,256510
2566241,256610
2566242,256610
2000391,200070
2000392,200070
2000393,200070
2000394,200070
2000395,200070
2000396,200070
204261,204210
204262,204210
213491,213410
213492,213410
213493,213410
213494,213410
213495,213410
213496,213410
2135231,213510
2135232,213510
2135233,213510
2135234,213510
2135235,213510
2135236,213510
2135237,213510
2135238,213510
2141311,214110
2141312,214110
2141313,214110
2141314,214110
2141315,214110
2141316,214110
2142321,214240
2142322,214240
2142323,214240
2142324,214240
214391,214310
214392,214310
2144241,214410
2144242,214410
2144243,214410
2144244,214410
2146111,214610
2146112,214610
2146113,214610
2146114,214610
2160261,216010
2160262,216010
2161251,216110
2161252,216110
2162191,216220
2162192,216220
2162201,216210
2162202,216210
2163201,216310
2163202,216310
2163211,216320
2163212,216320
2165201,216510
2165202,216510
2166271,216620
2166272,216620
2166281,216610
2166282,216610
2170831,217010
2170832,217010
217391,217310
217392,217310
219281,219210
219282,219210
2193111,219320
2193112,219320
2194111,219410
2194112,219410
2195141,219520
2195142,219520
2196291,219610
2196292,219610
2199171,219910
2199172,219910
2200501,220010
2200502,220010
220361,220310
220362,220310
2204121,220410
2204122,220410
2211141,221110
2211142,221110
2212161,221210
2212162,221210
2212163,221210
2212164,221210
2213141,221320
2213142,221320
2213143,221320
2213151,221310
2213152,221310
2220361,222010
2220362,222010
2220363,222010
2220364,222010
2000403,200080
2000404,200080
2000405,200080
2000406,200080
204831,204810
204832,204810
204833,204810
204981,204920
204982,204920
204991,204910
204992,204910
2060101,206010
2060102,206010
2060103,206010
2060104,206010
2060114,206044
2060115,206044
206141,206110
206142,206110
2065152,206520
2065153,206520
2065163,206516
2065164,206516
2077291,207730
2077292,207730
2077301,207720
2077302,207720
2077303,207720
2077304,207720
2077305,207720
2079101,207910
2079102,207910
208041,208010
208042,208010
208171,208110
208172,208110
208173,208110
211981,211910
211982,211910
2121221,212110
2121222,212110
2121223,212110
2121225,212110
2121226,212110
2126159,2126158
2126160,2126158
213051,213010
213052,213010
213053,213010
2131121,213110
2131122,213110
2131123,213110
2131124,213110
2131125,213110
213281,213210
213282,213210
213283,213210
213284,213210
213285,213210
214061,214020
214062,214020
214063,214020
214064,214020
214072,214010
214073,214010
214074,214010
214075,214010
214076,214010
214077,214010
2145641,214530
2145642,214530
2145643,214530
2145644,214530
2145651,214520
2145652,214520
2145653,214520
2145654,214520
2145661,214510
2145662,214510
2145663,214510
2145664,214510
2148541,214820
2148542,214820
2161261,216120
2161262,216120
2756441,275610
2756442,275610
2765301,276520
2060111,206020
2060112,206020
206451,206410
206452,206410
2067141,206710
2067142,206710
2067143,206710
2067144,206710
2070141,207010
2070142,207010
2070143,207010
2073161,207310
2073162,207310
2076231,207620
2076232,207620
2113361,211320
2113362,211320
2114181,211430
2114182,211430
2114191,211420
2114192,211420
2114193,211420
2120211,212010
2120212,212010
2120213,212010
2127101,212710
2127102,212710
2127103,212710
2127104,212710
213891,213820
213892,213820
213893,213820
2000321,200060
2000322,200060
2000323,200060
2000324,200060
2000325,200060
2000326,200060
2000327,200060
2000328,200060
2000329,200060
2000330,200060
2000331,200060
2000332,200060
2000333,200060
2000334,200060
2000336,200060
2000337,200060
2000338,200060
2000339,200060
2000340,200060
2000341,200060
2000342,200060
2000343,200060
2000344,200060
2000345,200060
2000351,200020
2000352,200020
2000361,200030
2000362,200030
2000371,200040
2000372,200040
2000381,200050
2000382,200050
2000462,200030
2000463,200030
2000466,200060
2000467,200060
201171,201110
201172,201110
2015111,201710
2015112,201710
2015121,201520
2015122,201520
2015131,201510
2015132,201510
2015133,201510
2015134,201510
2015135,201510
2015136,201510
2015137,201510
2015138,201510
2015139,201510
2015140,201510
2015141,201510
2015142,201510
2020101,202030
2020102,202030
2020111,202010
2020112,202010
202091,202020
202092,202020
202291,202210
202292,202210
202761,202710
202762,202710
204331,204310
204332,204310
204333,204310
204334,204310
204461,204410
204462,204410
204463,204410
204464,204410
204471,204420
204472,204420
204473,204420
204474,204420
204475,204420
204476,204420
204481,204430
204482,204430
204483,204430
204484,204430
2065161,206510
2065162,206510
2069131,206910
2069132,206910
207191,207110
207192,207110
207261,207210
207262,207210
207263,207210
2074181,207410
2074182,207410
2074191,207420
2074192,207420
2076241,207610
2076242,207610
2077311,207710
2077312,207710
208181,208120
208182,208120
208341,208310
208342,208310
2114171,211410
2114172,211410
2114173,211410
2114174,211410
211991,211920
211992,211920
2120201,212020
2120202,212020
2137171,213710
2137172,213710
2137173,213710
213881,213810
213882,213810
213883,213810
2141301,214120
2141302,214120
2142311,214230
2142312,214230
2142313,214230
2142314,214230
2142315,214230
214381,214320
214382,214320
2148531,214810
2148532,214810
2148533,214810
2148534,214810
2148535,214810
2148536,214810
2148537,214810
2150401,215010
2150402,215010
2150403,215010
2150404,215010
2163191,216330
2163192,216330
2170811,217030
2170812,217030
2205101,220530
2205102,220530
2205111,220510
2205112,220510
2205113,220510
2205114,220510
220591,220520
220592,220520
220593,220520
220594,220520
2207271,220710
2207272,220710
2207281,220720
2207282,220720
2208141,220810
2208142,220810
2209141,220910
2209142,220910
2209151,220920
2209152,220920
2210321,221010
2210322,221010
2216161,221610
2216162,221610
2216163,221610
2216164,221610
2216172,221620
2216173,221620
2216174,221620
2216175,221620
2217191,221710
2217192,221710
2217193,221710
2217194,221710
221891,221810
221892,221810
221893,221810
221894,221810
2220351,222020
2220352,222020
2220353,222020
2220354,222020
2222131,222210
2222132,222210
2223291,222310
2223292,222310
2223301,222320
2223302,222320
2226101,222610
2226102,222610
2226111,222620
2226112,222620
2227101,222710
2227102,222710
2228131,222810
2228132,222810
2229221,222910
2229222,222910
2230211,223020
2230212,223020
2230221,223010
2230222,223010
2232271,223230
2232272,223230
2232281,223220
2232282,223220
2232291,223210
2232292,223210
2232293,223210
2233271,223310
2233272,223310
2233281,223320
2233282,223320
2233291,223330
2233292,223330
2250791,225040
2250792,225040
2250793,225040
2250801,225070
2250802,225070
2250811,2250772
2250812,2250772
2250821,225060
2250822,225060
2250831,225030
2250832,225030
2250841,225020
2250842,225020
2256451,225620
2256452,225620
2256461,225010
2256462,225010
2256471,225610
2256472,225610
2258111,225810
2258112,225810
2259911,225910
2259912,225910
2259921,225930
2259922,225930
2259931,225940
2259932,225940
2259941,225920
2259942,225920
2259943,225920
2264191,226420
2264192,226420
2264201,226410
2264202,226410
2283221,228310
2283222,228310
2283231,228330
2283232,228330
2284161,228410
2284162,228410
2284171,228430
2284172,228430
2284181,228420
2284182,228420
2285361,228520
2285362,228520
2289331,228920
2289332,228920
2289341,228910
2289342,228910
229271,229210
229272,229210
2303151,230310
2303152,230310
2500371,250030
2500372,250030
2500381,250510
2500391,250010
2500392,250010
2500401,250020
2500402,250020
2505101,250530
2505111,250540
250581,250520
250582,250520
250592,250510
2508151,250850
2508152,250850
2508161,250810
2508162,250810
2508171,250830
2508172,250830
2508181,250840
2508182,250840
2515111,251540
2515112,251540
2515121,251530
2515122,251530
2515131,251510
2515132,251510
2515141,251550
2515142,251550
2515143,251550
2515151,251520
2515152,251520
251671,251610
251672,251610
251781,251710
251782,251710
2518131,251810
2518132,251810
2518141,251820
2518142,251820
2518151,251830
2518152,251830
2519131,251910
2519132,251910
2526161,253010
2527161,252710
2527162,252710
2529201,252920
2530231,253020
2530232,253020
2530233,253020
2533201,253320
2533211,253330
2533212,253330
2533221,253310
2753661,275310
2753671,275320
2753672,275320
2756431,275630
2756432,275630
277941,277910
277942,277910
2780201,278020
2780202,278020
2780211,278010
2780212,278010
2780221,278030
2780222,278030
2782181,278210
2782182,278210
278421,278410
278422,278410
278641,278620
278642,278620
278651,278610
278652,278610
2790151,278630
2790152,278630
2795201,279538
2000460,200046
2000461,200046
2000464,200066
2000465,200066
2017077,201721
2017078,201721
20030P3,20030
20295P1,20295
20295P2,20295
20342P1,20342
20356P1,20356
20356P2,20356
22180P1,22180
2304291,230430
2304292,230430
2304301,230420
2304302,230420
2304311,230410
2304312,230410
2320301,232010
2320302,232010
2320311,232020
2320312,232020
2320313,232020
2320314,232020
2320321,232050
2320331,232030
2321161,232110
2321162,232110
2322221,232230
2322222,232230
2322231,232210
2322232,232210
2322241,232220
2322242,232220
2322251,232240
2322252,232240
2323311,232330
2323312,232330
2323321,232310
2323322,232310
2323331,232320
2323332,232320
2330181,233010
233321,233310
233461,233410
233462,233410
233591,233510
233592,233510
233621,233610
233731,233710
23383,23381
23393,23391
2340108,234012
23418,23411
23419,23411
234313,23431
235044,23501
23528,23521
23544,23541
235824,235813
238074,23801
23824,23821
239029,23901
23973,23971
240024,24001
2420101,242030
242061,242010
242062,242010
242071,242040
242081,242050
242091,242020
242141,242110
242142,24221
2429102,24291
243067,24301
243927,24391
244086,24401
244131,24411
244648,24461
244738,24471
244835,24481
2450173,24501
245240,24521
245526,24551
2460143,24601
247055,24701
247426,24741
2500404,250020
253481,253420
253591,253510
2541191,254110
256321,256310
256322,256310
256851,256810
256852,256810
2569141,256910
2569142,256910
2571161,257110
2571162,257110
257361,257310
257362,257310
257461,257420
257462,257420
2575131,257510
2575132,257510
2575141,257540
2575142,257540
2576341,257610
2576342,257610
2576351,257620
2576352,257620
2577201,257710
2577202,257710
2579101,257950
2579102,257950
2579111,257910
2579112,257910
257971,257930
257972,257930
257981,257940
257982,257940
257991,257920
257992,257920
258051,258010
258089,258011
258125,25811
258128,25811
25875,25871
25903,25901
26043,26041
262030,26201
26215,26211
264086,26401
2650135,26501
26553,26551
26583,26581
26603,26601
266348,26631
268058,26801
27003,27001
270122,27011
27054,27051
279822,279821
27993,27991
280092,28001
282023,28202
282024,28201
2830143,28301
283111,28311
287054,28701
28778,28771
28779,28772
28785,28782
28786,28781
28793,28791
288076,28801
600033,40001
