stop_id,name
230410,Waratah Station
230420,Warabrook Station
232030,Telarah Station
232050,Mindaribba Station
232230,Beresfield Station
232240,Thornton Station
232310,Metford Station
232320,Victoria Street Station
232330,East Maitland Station
233010,Singleton Station
233310,Muswellbrook Station
233510,Branxton Station
242010,Dungog Station
242020,Wallarobba Station
242030,Wirragulla Station
242040,Hilldale Station
242050,Martins Creek Station
242110,Paterson Station
28202,Wellington Station
28311,Geurie Station
234012,Tamworth Station
23411,Werris Creek Station
23431,Quirindi Station
23501,Armidale Station
233610,Aberdeen Station
24301,Taree Station
24391,Kendall Station
24461,Wauchope Station
24551,Urunga Station
24601,Grafton Station
26631,Junee Station
26801,Griffith Station
28001,Orange Station
26581,Henty Station
20030,Broadmeadows Station
20295,Benalla Station
20342,Seymour Station
20356,Wangaratta Station
22180,Melbourne (Southern Cross) Station
230430,Sandgate Station
232010,High Street Station
232110,Lochinvar Station
232210,Hexham Station
232220,Tarro Station
233410,Greta Station
233710,Scone Station
23381,Murrurundi Station
23391,Willow Tree Station
23521,Kootingal Station
23541,Walcha Road Station
235813,Uralla Station
23801,Gunnedah Station
23821,Boggabri Station
23901,Narrabri Station
23971,Bellata Station
24001,Moree Station
24221,Gloucester Station
24291,Wingham Station
24401,Kempsey Station
24411,Eungai Station
24471,Macksville Station
24481,Nambucca Heads Station
24501,Coffs Harbour Station
24521,Sawtell Station
24701,Casino Station
24741,Kyogle Station
258011,Tarago Station
25811,Gunning Station
25871,Harden Station
25901,Cootamundra Station
26041,Canberra Station
26201,Queanbeyan Station
26211,Bungendore Station
26401,Albury Station
26501,Wagga Wagga Station
26551,The Rock Station
26601,Culcairn Station
27001,Narrandera Station
27011,Coolamon Station
27051,Leeton Station
279821,Millthorpe Station
27991,Blayney Station
28201,Stuart Town Station
28301,Dubbo Station
28701,Parkes Station
28771,Euabalong West Station
28772,Condobolin Station
28781,Darnick Station
28782,Ivanhoe Station
28791,Menindee Station
28801,Broken Hill Station
40001,Brisbane (Roma Street) Station
